TP Index,TP ID,Frekans,Symbol Rate,Pol,Ham Hex
0,0x47,10892,27500,H,6b 6c c8 42 00 00 00 00 3f 00 00 47 26 16 2a 8c
1,0x48,10930,27500,H,6b 6c c8 42 00 00 00 00 3f 00 00 48 26 16 2a b2
2,0x49,10971,27500,H,6b 6c c8 42 00 00 00 00 3f 00 00 49 26 16 2a db
3,0x4a,10992,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 4a 26 16 2a f0
4,0x4b,11013,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 4b 26 16 2b 05
5,0x4c,11054,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 4c 26 16 2b 2e
6,0x4d,11096,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 4d 26 16 2b 58
7,0x4e,11137,28000,H,6d 60 88 4c 00 00 00 00 3f 00 00 4e 26 16 2b 81
8,0x4f,11179,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 4f 26 16 2b ab
9,0x50,11219,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 50 26 16 2b d3
10,0x51,11258,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 51 26 16 2b fa
11,0x52,11296,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 52 26 16 2c 20
12,0x53,11411,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 53 26 16 2c 93
13,0x54,11449,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 54 26 16 2c b9
14,0x55,11488,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 55 26 16 2c e0
15,0x56,11526,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 56 26 16 2d 06
16,0x57,11566,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 57 26 16 2d 2e
17,0x58,11604,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 58 26 16 2d 54
18,0x59,11642,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 59 26 16 2d 7a
19,0x5a,11645,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 5a 26 16 2d 7d
20,0x5b,11678,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 5b 26 16 2d 9e
21,0x5c,11681,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 5c 26 16 2d a1
22,0x5d,11747,27500,H,6b 6c 88 4c 00 00 00 00 3f 00 00 5d 29 68 2d e3
23,0x5e,11785,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 5e 29 68 2e 09
24,0x5f,11823,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 5f 29 68 2e 2f
25,0x60,11862,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 60 29 68 2e 56
26,0x61,11900,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 61 29 68 2e 7c
27,0x62,11938,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 62 29 68 2e a2
28,0x63,11977,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 63 29 68 2e c9
29,0x64,12015,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 64 29 68 2e ef
30,0x65,12054,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 65 29 68 2f 16
31,0x66,12092,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 66 29 68 2f 3c
32,0x67,12130,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 67 29 68 2f 62
33,0x68,12169,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 68 29 68 2f 89
34,0x69,12207,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 69 29 68 2f af
35,0x6a,12226,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6a 29 68 2f c2
36,0x6b,12245,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6b 29 68 2f d5
37,0x6c,12284,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6c 29 68 2f fc
38,0x6d,12322,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6d 29 68 30 22
39,0x6e,12360,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6e 29 68 30 48
40,0x6f,12399,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 6f 29 68 30 6f
41,0x70,12437,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 70 29 68 30 95
42,0x71,12476,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 71 29 68 30 bc
43,0x72,12539,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 72 29 68 30 fb
44,0x73,12577,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 73 29 68 31 21
45,0x74,12616,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 74 29 68 31 48
46,0x75,12654,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 75 29 68 31 6e
47,0x76,12692,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 76 29 68 31 94
48,0x77,12731,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 77 29 68 31 bb
49,0x78,10719,27500,H,6b 6c a8 4c 00 00 00 00 3f 00 00 78 26 16 29 df
50,0x79,10757,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 79 26 16 2a 05
51,0x7a,10796,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7a 26 16 2a 2c
52,0x7b,10834,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7b 26 16 2a 52
53,0x7c,10873,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7c 26 16 2a 79
54,0x7d,10910,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7d 26 16 2a 9e
55,0x7e,10949,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7e 26 16 2a c5
56,0x7f,10992,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 7f 26 16 2a f0
57,0x80,11034,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 80 26 16 2b 1a
58,0x81,11075,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 81 26 16 2b 43
59,0x82,11117,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 82 26 16 2b 6d
60,0x83,11158,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 83 26 16 2b 96
61,0x84,11200,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 84 26 16 2b c0
62,0x85,11240,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 85 26 16 2b e8
63,0x86,11278,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 86 26 16 2c 0e
64,0x87,11355,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 87 26 16 2c 5b
65,0x88,11393,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 88 26 16 2c 81
66,0x89,11471,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 89 26 16 2c cf
67,0x8a,11508,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 8a 26 16 2c f4
68,0x8b,11523,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 8b 26 16 2d 03
69,0x8c,11541,5000,H,13 88 08 4c 00 00 00 00 3f 00 00 8c 26 16 2d 15
70,0x8d,11585,22000,H,55 f0 08 4c 00 00 00 00 3f 00 00 8d 26 16 2d 41
71,0x8e,11623,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 8e 26 16 2d 67
72,0x8f,11662,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 8f 26 16 2d 8e
73,0x90,11727,27500,H,6b 6c 08 4c 00 00 00 00 3f 00 00 90 29 68 2d cf
74,0x91,11766,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 91 29 68 2d f6
75,0x92,11804,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 92 29 68 2e 1c
76,0x93,11843,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 93 29 68 2e 43
77,0x94,11881,27500,H,6b 6c 28 4c 00 00 00 00 3f 00 00 94 29 68 2e 69
